painting,painting_style,painting_subject,museum,museum_city,museum_country,artist,artist_nationality,artist_style,artist_birth,artist_death
The Terrace of Ma Roulotte in Vernonnet,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
"The Terrace on the Seine, Vernon",Nabi,Gardens,,,,Pierre Bonnard,French,Nabi,1867,1947
The Terrace,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
The Toilet,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
The Two Oxen and the Farm,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
The Vernon Garden,Nabi,Gardens,,,,Pierre Bonnard,French,Nabi,1867,1947
The White Cat,Nabi,,Musée d'Orsay,Paris,France,Pierre Bonnard,French,Nabi,1867,1947
The Woman in the Restaurant,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Two Ladies Chatting at a Table,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Under the Tree,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
"View of the Old Port, Saint-Tropez",Nabi,,The Metropolitan Museum of Art,New York,USA,Pierre Bonnard,French,Nabi,1867,1947
"Village Scene, Grasse",Nabi,,The Metropolitan Museum of Art,New York,USA,Pierre Bonnard,French,Nabi,1867,1947
Winter Day,Nabi,Winter,,,,Pierre Bonnard,French,Nabi,1867,1947
