painting,painting_style,painting_subject,museum,museum_city,museum_country,artist,artist_nationality,artist_style,artist_birth,artist_death
Woman in an Interior,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Woman in Red Bathrobe,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Woman Making a Success,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
"Woman with Dog, or Woman and Dog at Table",Nabi,,The Barnes Foundation,Philadelphia,USA,Pierre Bonnard,French,Nabi,1867,1947
Woman with Mimosa,Nabi,,The Metropolitan Museum of Art,New York,USA,Pierre Bonnard,French,Nabi,1867,1947
Young Girls with Dogs,Nabi,Dogs,,,,Pierre Bonnard,French,Nabi,1867,1947
Young Woman at Table,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
"Young Woman, Blue-Green Dress",Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Young Woman in a Black Hat,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Young Woman in a Blue Hat,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Young Woman Painting,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Young Woman Sitting,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
Young Woman with Bare Chest,Nabi,,,,,Pierre Bonnard,French,Nabi,1867,1947
